

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 1000000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.091 | 4.091 | 4.091 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -0.097317978    7              7              5              245            0             -1260.3714    
         1  -0.098223875    6.9953385      6.9953385      4.995          244.42913      0             -1275.058     
         2  -0.098695859    6.9907299      6.9907299      4.99           243.86282      0             -1284.0882    
         3  -0.099170254    6.9861268      6.9861268      4.985          243.29775      0             -1293.1841    
         4  -0.099647098    6.9815289      6.9815289      4.98           242.73389      0             -1302.3466    
         5  -0.10012641     6.976936       6.976936       4.975          242.17124      0             -1311.5763    
         6  -0.10060819     6.9723483      6.9723483      4.97           241.60979      0             -1320.8736    
         7  -0.10109246     6.9677657      6.9677657      4.965          241.04955      0             -1330.2391    
         8  -0.10157924     6.9631882      6.9631882      4.96           240.49051      0             -1339.6733    
         9  -0.10206853     6.9586159      6.9586159      4.955          239.93267      0             -1349.1766    
        10  -0.10256035     6.9540488      6.9540488      4.95           239.37604      0             -1358.7496    
        11  -0.10305471     6.9494869      6.9494869      4.945          238.8206       0             -1368.3928    
        12  -0.10355163     6.9449302      6.9449302      4.94           238.26635      0             -1378.1067    
        13  -0.10405112     6.9403787      6.9403787      4.935          237.71331      0             -1387.8918    
        14  -0.1045532      6.9358324      6.9358324      4.93           237.16145      0             -1397.7487    
        15  -0.10505787     6.9312914      6.9312914      4.925          236.61079      0             -1407.6778    
        16  -0.10556516     6.9267557      6.9267557      4.92           236.06133      0             -1417.6797    
        17  -0.10607507     6.9222253      6.9222253      4.915          235.51305      0             -1427.755     
        18  -0.10658762     6.9177002      6.9177002      4.91           234.96597      0             -1437.9041    
        19  -0.10710283     6.9131804      6.9131804      4.905          234.42007      0             -1448.1277    
        20  -0.1076207      6.9086659      6.9086659      4.9            233.87535      0             -1458.4262    
        21  -0.10814126     6.9041567      6.9041567      4.895          233.33183      0             -1468.8002    
        22  -0.10866452     6.899653       6.899653       4.89           232.78948      0             -1479.2502    
        23  -0.10919049     6.8951546      6.8951546      4.885          232.24832      0             -1489.7769    
        24  -0.10971918     6.8906616      6.8906616      4.88           231.70834      0             -1500.3808    
        25  -0.11025062     6.886174       6.886174       4.875          231.16954      0             -1511.0624    
        26  -0.11078481     6.8816919      6.8816919      4.87           230.63192      0             -1521.8223    
        27  -0.11132177     6.8772152      6.8772152      4.865          230.09547      0             -1532.6611    
        28  -0.11186152     6.872744       6.872744       4.86           229.5602       0             -1543.5794    
        29  -0.11240407     6.8682782      6.8682782      4.855          229.02611      0             -1554.5777    
        30  -0.11294944     6.8638179      6.8638179      4.85           228.49318      0             -1565.6566    
        31  -0.11349764     6.8593632      6.8593632      4.845          227.96143      0             -1576.8168    
        32  -0.11404868     6.8549139      6.8549139      4.84           227.43085      0             -1588.0587    
        33  -0.11460258     6.8504702      6.8504702      4.835          226.90144      0             -1599.3831    
        34  -0.11515937     6.8460321      6.8460321      4.83           226.37319      0             -1610.7904    
        35  -0.11571904     6.8415995      6.8415995      4.825          225.84611      0             -1622.2814    
        36  -0.11628162     6.8371726      6.8371726      4.82           225.3202       0             -1633.8566    
        37  -0.11684713     6.8327512      6.8327512      4.815          224.79544      0             -1645.5166    
        38  -0.11741558     6.8283354      6.8283354      4.81           224.27185      0             -1657.2621    
        39  -0.11798698     6.8239253      6.8239253      4.805          223.74942      0             -1669.0936    
        40  -0.11856136     6.8195208      6.8195208      4.8            223.22815      0             -1681.0119    
        41  -0.11913872     6.815122       6.815122       4.795          222.70803      0             -1693.0175    
        42  -0.11971909     6.8107289      6.8107289      4.79           222.18907      0             -1705.1111    
        43  -0.12030247     6.8063414      6.8063414      4.785          221.67127      0             -1717.2932    
        44  -0.1208889      6.8019597      6.8019597      4.78           221.15462      0             -1729.5646    
        45  -0.12147837     6.7975838      6.7975838      4.775          220.63912      0             -1741.9259    
        46  -0.12207092     6.7932135      6.7932135      4.77           220.12477      0             -1754.3778    
        47  -0.12266655     6.788849       6.788849       4.765          219.61157      0             -1766.9208    
        48  -0.12326528     6.7844903      6.7844903      4.76           219.09951      0             -1779.5558    
