# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	307.2135	-1198.5933	34.270128	13574.584	0.047357399	0.066102426
5.2	298.34366	-1197.6038	33.280684	13510.762	0.1032137	0.2273151
5.3	294.84664	-1197.2137	32.890586	13419.718	0.11397431	0.39728417
5.4	300.45885	-1197.8399	33.516637	13496.611	0.12513206	0.52413694
5.5	304.45797	-1198.2862	33.962745	13811.93	0.13194478	0.61877068
5.6	295.91682	-1197.333	33.009967	13713.807	0.13334003	0.6854019
5.7	299.83537	-1197.7701	33.447086	13827.265	0.13448655	0.72876123
5.8	295.40747	-1197.2761	32.953148	13885.148	0.13277843	0.76255822
5.9	296.65344	-1197.4152	33.092138	13635.716	0.12932291	0.80159644
6.0	293.65694	-1197.0806	32.757874	13702.291	0.12712481	0.85493735
6.1	307.19059	-1198.5909	34.267573	13702.228	0.13061565	0.91238468
6.2	293.52743	-1197.0666	32.743426	13937.431	0.14894778	0.96389732
6.3	298.29943	-1197.5989	33.27575	13979.313	0.15907143	0.99969344
6.4	306.10133	-1198.469	34.146064	13738.393	0.15927889	1.0402171
6.5	300.47752	-1197.8417	33.518719	13697.359	0.16022255	1.0896412
6.6	300.0642	-1197.7958	33.472613	13938.682	0.16532314	1.1276854
6.7	308.75417	-1198.7652	34.441993	14399.698	0.17330706	1.1495641
6.8	305.70814	-1198.4251	34.102203	13785.632	0.17609086	1.1715546
6.9	294.18348	-1197.1395	32.81661	14004.523	0.17624442	1.1940469
7.0	306.88379	-1198.5567	34.233349	14132.038	0.17301252	1.2064589
7.1	311.17359	-1199.0351	34.711882	14190.728	0.16831174	1.2200496
7.2	306.50228	-1198.5141	34.190791	14209.647	0.16469652	1.2435038
7.3	298.94832	-1197.6714	33.348135	13938.853	0.16420693	1.2727366
7.4	297.24414	-1197.4814	33.158032	13561.924	0.16682442	1.3038536
7.5	299.74324	-1197.7602	33.43681	13379.124	0.16695396	1.3392462
7.6	297.75632	-1197.5384	33.215166	13648.549	0.1673242	1.3881688
7.7	297.85003	-1197.5489	33.225619	13936.439	0.16764896	1.4444967
7.8	297.5719	-1197.5177	33.194594	13987.951	0.16742995	1.4876765
7.9	302.5353	-1198.0716	33.748268	13407.101	0.16919337	1.5234812
8.0	303.09917	-1198.1348	33.811169	13778.284	0.16930832	1.5743596
8.1	310.90952	-1199.0059	34.682425	13667.266	0.16877654	1.6210373
8.2	309.56125	-1198.8553	34.532023	13790.544	0.17222878	1.6581544
8.3	299.74691	-1197.7607	33.437219	14238.338	0.1814864	1.7025067
8.4	314.29783	-1199.3842	35.060396	14062.41	0.18598612	1.7499293
8.5	305.10995	-1198.3588	34.035474	13790.875	0.18824064	1.8107809
8.6	291.78358	-1196.8721	32.548898	13938.381	0.19216276	1.8848491
8.7	307.13621	-1198.5852	34.261507	14306.205	0.19423571	1.9459019
8.8	308.09716	-1198.692	34.368701	14338.864	0.19713273	1.9804423
8.9	316.16373	-1199.592	35.268539	14154.653	0.18759031	2.0131478
9.0	313.46103	-1199.2906	34.967049	14530.147	0.18284885	2.0235132
9.1	309.34029	-1198.8309	34.507375	14599.397	0.18649019	2.0371096
9.2	313.42071	-1199.2862	34.962552	14275.972	0.19300577	2.0554292
9.3	303.9103	-1198.225	33.901651	14299.299	0.19944093	2.0848038
9.4	307.38309	-1198.6124	34.289046	14150.776	0.20265073	2.1284764
9.5	320.67829	-1200.0957	35.772146	13773.132	0.19917135	2.1711038
9.6	307.9096	-1198.6713	34.347779	13981.868	0.20231974	2.2295123
9.7	310.50978	-1198.9614	34.637833	14127.578	0.20919487	2.3013191
9.8	306.93664	-1198.5627	34.239244	14416.766	0.21025155	2.3526559
9.9	315.21409	-1199.4865	35.162606	14601.244	0.20809374	2.4088192
10.0	316.54645	-1199.6351	35.311233	14565.871	0.21201036	2.4477233
10.1	304.46768	-1198.2874	33.963828	14526.896	0.21780248	2.4576505
10.2	309.03806	-1198.7975	34.473661	14568.533	0.21696895	2.4453058
10.3	312.77847	-1199.2148	34.890909	14278.735	0.215444	2.427871
10.4	308.72387	-1198.7621	34.438612	14572.328	0.21837327	2.4499946
10.5	315.05184	-1199.4679	35.144507	13985.387	0.21294764	2.4861438
10.6	309.10272	-1198.8041	34.480873	13380.965	0.20967217	2.4998335
10.7	307.53007	-1198.6288	34.305442	13529.026	0.21436368	2.5148643
10.8	306.33524	-1198.4954	34.172157	13928.246	0.21523622	2.5356505
10.9	318.08892	-1199.8067	35.483297	13788.041	0.20733309	2.5665249
11.0	325.78743	-1200.6658	36.342078	14079.929	0.21323941	2.5975788
