# Time   VAF(t)
0.000000  0.760664
0.098333  0.238814
0.196667  -0.053863
0.295000  -0.021006
0.393333  -0.030425
0.491667  -0.015161
0.590000  0.002816
0.688333  -0.000872
0.786667  0.001714
0.885000  0.018418
0.983333  0.017118
1.081667  0.002441
1.180000  -0.004863
1.278333  -0.007552
1.376667  -0.007074
1.475000  -0.003835
1.573333  0.002929
1.671667  0.007684
1.770000  0.002911
1.868333  -0.002126
1.966667  -0.002929
2.065000  -0.004589
2.163333  -0.003046
2.261667  -0.007844
2.360000  -0.002510
2.458333  0.013256
2.556667  0.015440
2.655000  -0.005560
2.753333  -0.017094
2.851667  -0.006605
2.950000  0.007666
3.048333  0.010034
3.146667  0.005820
3.245000  0.003363
3.343333  -0.005715
3.441667  -0.009432
3.540000  0.001502
3.638333  0.004545
3.736667  -0.004852
3.835000  -0.006703
3.933333  0.003292
4.031667  0.005583
4.130000  0.005809
4.228333  0.005885
4.326667  0.001004
4.425000  0.006146
4.523333  -0.005331
4.621667  -0.001995
4.720000  -0.003647
4.818333  -0.003117
