# Time   VAF(t)
0.000000  2.127260
0.098333  0.481210
0.196667  -0.038957
0.295000  -0.000995
0.393333  -0.040458
0.491667  -0.028210
0.590000  -0.027609
0.688333  -0.027693
0.786667  -0.039339
0.885000  -0.026344
0.983333  -0.000057
1.081667  0.008536
1.180000  -0.010324
1.278333  -0.012659
1.376667  -0.036413
1.475000  -0.006701
1.573333  -0.014126
1.671667  -0.020153
1.770000  -0.003484
1.868333  0.038800
1.966667  -0.003195
2.065000  -0.009008
2.163333  0.018003
2.261667  0.008547
2.360000  0.000877
2.458333  0.015184
2.556667  -0.001100
2.655000  -0.020857
2.753333  0.014582
2.851667  0.026077
2.950000  0.000041
3.048333  -0.001844
3.146667  0.021572
3.245000  0.016150
3.343333  -0.001030
3.441667  -0.017920
3.540000  -0.008248
3.638333  -0.010008
3.736667  -0.004066
3.835000  0.014582
3.933333  0.008646
4.031667  -0.011928
4.130000  -0.006202
4.228333  -0.011471
4.326667  0.007686
4.425000  0.015310
4.523333  0.002372
4.621667  0.009378
4.720000  0.015168
4.818333  0.007037
