# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	307.21349	-1198.5933	34.270128	13574.584	0.047357399	0.066102425
5.2	298.34366	-1197.6038	33.280684	13510.762	0.1032137	0.22731509
5.3	294.84663	-1197.2137	32.890586	13419.718	0.11397431	0.39728417
5.4	300.45885	-1197.8399	33.516637	13496.611	0.12513206	0.52413694
5.5	304.45798	-1198.2862	33.962746	13811.93	0.13194479	0.61877067
5.6	295.91681	-1197.333	33.009966	13713.808	0.13334005	0.68540189
5.7	299.83538	-1197.7701	33.447088	13827.265	0.13448656	0.72876123
5.8	295.40751	-1197.2761	32.953152	13885.148	0.13277843	0.76255828
5.9	296.65343	-1197.4152	33.092137	13635.716	0.1293229	0.80159657
6.0	293.65693	-1197.0806	32.757873	13702.291	0.12712482	0.85493744
6.1	307.19061	-1198.5909	34.267574	13702.228	0.13061567	0.91238472
6.2	293.52746	-1197.0666	32.74343	13937.43	0.14894779	0.96389747
6.3	298.29954	-1197.5989	33.275763	13979.31	0.15907143	0.99969367
6.4	306.10133	-1198.469	34.146064	13738.394	0.15927891	1.0402175
6.5	300.47741	-1197.8417	33.518708	13697.36	0.16022256	1.0896415
6.6	300.06415	-1197.7958	33.472608	13938.682	0.16532322	1.1276854
6.7	308.75428	-1198.7652	34.442004	14399.702	0.17330719	1.1495639
6.8	305.70827	-1198.4251	34.102218	13785.633	0.17609094	1.1715542
6.9	294.18344	-1197.1395	32.816606	14004.523	0.17624443	1.1940463
7.0	306.88395	-1198.5568	34.233367	14132.04	0.1730124	1.2064583
7.1	311.17376	-1199.0352	34.711901	14190.725	0.16831157	1.2200493
7.2	306.50241	-1198.5141	34.190805	14209.645	0.16469654	1.2435038
7.3	298.94844	-1197.6714	33.348148	13938.848	0.16420713	1.2727368
7.4	297.24404	-1197.4814	33.15802	13561.918	0.16682475	1.3038526
7.5	299.74449	-1197.7603	33.436949	13379.122	0.16695426	1.3392433
7.6	297.7555	-1197.5383	33.215075	13648.56	0.16732425	1.3881652
7.7	297.85164	-1197.549	33.225798	13936.369	0.1676486	1.4444931
7.8	297.5703	-1197.5175	33.194415	13987.99	0.16742971	1.487674
7.9	302.5371	-1198.0718	33.748468	13407.04	0.16919282	1.5234761
8.0	303.1024	-1198.1351	33.811529	13778.221	0.16930729	1.5743576
8.1	310.91457	-1199.0064	34.682988	13667.2	0.16877617	1.6210439
8.2	309.55793	-1198.855	34.531653	13790.578	0.17222941	1.6581711
8.3	299.7512	-1197.7611	33.437697	14238.249	0.18148832	1.7025266
8.4	314.30289	-1199.3848	35.06096	14062.529	0.18598472	1.7499555
8.5	305.11556	-1198.3594	34.0361	13790.772	0.18824306	1.8108116
8.6	291.79818	-1196.8738	32.550526	13938.286	0.19216978	1.8848969
8.7	307.14185	-1198.5858	34.262136	14306.919	0.19423732	1.9459922
8.8	308.06708	-1198.6886	34.365346	14339.463	0.1971351	1.9804985
8.9	316.17066	-1199.5928	35.269313	14153.57	0.18760788	2.0130624
9.0	313.46212	-1199.2907	34.967171	14530.302	0.18286271	2.023421
9.1	309.33928	-1198.8308	34.507262	14600.316	0.18649206	2.0370451
9.2	313.40253	-1199.2842	34.960524	14276.108	0.19301505	2.0553232
9.3	303.89331	-1198.2231	33.899756	14299.118	0.19944873	2.0846847
9.4	307.4035	-1198.6147	34.291323	14151.115	0.20265278	2.1284494
9.5	320.69808	-1200.0979	35.774354	13774.172	0.19918861	2.1712282
9.6	307.85469	-1198.6651	34.341654	13982.873	0.20235113	2.2297516
9.7	310.50948	-1198.9614	34.637799	14127.674	0.20919574	2.3014057
9.8	307.19551	-1198.5916	34.268121	14417.462	0.21017005	2.352695
9.9	315.30068	-1199.4961	35.172265	14597.572	0.20804078	2.4091796
10.0	316.29373	-1199.6069	35.283042	14566.287	0.21205235	2.4486736
10.1	304.27318	-1198.2657	33.942131	14530.098	0.21787518	2.4586789
10.2	309.39035	-1198.8368	34.512959	14561.108	0.21708549	2.4454753
10.3	312.61403	-1199.1964	34.872565	14290.351	0.21566007	2.4260492
10.4	309.05858	-1198.7995	34.47595	14557.698	0.21852612	2.4462477
10.5	314.74366	-1199.4335	35.110129	13990.078	0.21331987	2.4812856
10.6	309.04874	-1198.798	34.474852	13368.007	0.20966424	2.4941265
10.7	307.98473	-1198.6795	34.356161	13497.885	0.2140359	2.5062283
10.8	307.64159	-1198.6412	34.317882	13894.61	0.21532003	2.5243142
10.9	316.69328	-1199.6509	35.327612	13755.118	0.20806408	2.5590551
11.0	326.48148	-1200.7432	36.419501	14012.436	0.2142919	2.5993034
