# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	505.4008	-3952.3043	190.43165	15892.723	0.077430362	0.10925133
5.2	499.78015	-3950.1863	188.31382	15846.944	0.1836375	0.36752209
5.3	499.26031	-3949.991	188.11795	16061.501	0.22326685	0.66879718
5.4	497.39388	-3949.2865	187.41469	15814.914	0.25539049	0.93675652
5.5	500.54288	-3950.4734	188.60122	16245.833	0.27779998	1.1647164
5.6	495.50768	-3948.5769	186.70398	16394.492	0.2872795	1.3563888
5.7	483.51298	-3944.0563	182.18446	16322.694	0.29648073	1.5272395
5.8	497.69541	-3949.4016	187.52831	16055.669	0.292487	1.6852479
5.9	508.43957	-3953.4503	191.57663	16030.532	0.28488187	1.8387272
6.0	496.97775	-3949.1292	187.2579	16365.053	0.2875893	1.9978113
6.1	498.90981	-3949.8578	187.98588	15957.796	0.28585049	2.1621153
6.2	496.78653	-3949.0586	187.18585	15768.582	0.2895767	2.3201083
6.3	498.54435	-3949.7211	187.84818	16651.834	0.29695374	2.460076
6.4	499.69153	-3950.1531	188.28043	16639.003	0.30119182	2.5903164
6.5	503.42551	-3951.5595	189.68737	16178.649	0.30297643	2.7268475
6.6	504.02794	-3951.7879	189.91436	16390.004	0.30616881	2.8859157
6.7	497.38543	-3949.284	187.41151	16417.441	0.30428684	3.0590986
6.8	498.58078	-3949.7342	187.86191	16244.792	0.31091985	3.1928394
6.9	500.23472	-3950.3585	188.4851	16350.989	0.31878721	3.3126723
7.0	497.47537	-3949.318	187.4454	16479.478	0.32073194	3.4428112
7.1	498.03219	-3949.5272	187.6552	15963.32	0.3244825	3.5824178
7.2	497.02621	-3949.1489	187.27616	16307.441	0.32804405	3.7225155
7.3	493.71571	-3947.9018	186.02878	16456.726	0.33291659	3.8592345
7.4	497.58054	-3949.3575	187.48503	16100.892	0.34300873	3.9942089
7.5	498.90908	-3949.8577	187.98561	16152.619	0.35042413	4.133851
7.6	494.51619	-3948.2029	186.3304	16229.755	0.34878648	4.2505304
7.7	493.13979	-3947.6845	185.81178	16276.398	0.34915327	4.3682258
7.8	504.87998	-3952.1085	190.23541	15833.669	0.35022205	4.4802408
7.9	490.85837	-3946.8246	184.95216	16111.539	0.34937659	4.581411
8.0	500.85267	-3950.5905	188.71794	15891.12	0.3549936	4.6775187
8.1	489.93972	-3946.478	184.60602	16443.225	0.36428284	4.7924641
8.2	491.00542	-3946.8803	185.00756	16484.121	0.36303128	4.8889699
8.3	503.12639	-3951.4478	189.57466	16304.809	0.35762479	4.9900653
8.4	494.69637	-3948.2713	186.39829	16401.733	0.3590264	5.0915078
8.5	501.19696	-3950.721	188.84767	15983.41	0.35645415	5.2047462
8.6	495.63447	-3948.6244	186.75176	16028.065	0.35021731	5.336191
8.7	507.38115	-3953.0515	191.17783	16071.382	0.34459357	5.4688079
8.8	502.56987	-3951.238	189.36497	16302.111	0.34526107	5.5672175
8.9	510.07508	-3954.0677	192.19289	16480.662	0.3463355	5.6472076
9.0	498.60156	-3949.7438	187.86974	16542.554	0.35186559	5.7336137
9.1	496.29157	-3948.8722	186.99935	16381.664	0.35354584	5.8342338
9.2	503.27207	-3951.5028	189.62955	16153.388	0.35115228	5.9365172
9.3	494.7369	-3948.286	186.41356	16121.085	0.35431528	6.061938
9.4	498.1293	-3949.5641	187.69179	16121.898	0.35974271	6.2118159
9.5	497.36844	-3949.277	187.40511	16243.833	0.37591965	6.4018888
9.6	497.04048	-3949.1545	187.28153	16262.994	0.384024	6.6099757
9.7	501.09767	-3950.6837	188.81026	15948.834	0.38140489	6.7821414
9.8	501.41448	-3950.8029	188.92963	15912.343	0.38349228	6.9170721
9.9	486.90286	-3945.3336	183.46175	16310.751	0.39465041	7.0397423
10.0	495.61087	-3948.6156	186.74287	16186.718	0.40406763	7.1619642
10.1	504.821	-3952.0865	190.21318	16054.014	0.40868843	7.3096684
10.2	499.22808	-3949.9782	188.10581	15994.128	0.41111964	7.4727344
10.3	510.15924	-3954.0984	192.2246	16113.187	0.40988577	7.6349253
10.4	501.45178	-3950.817	188.94368	16354.537	0.40816784	7.8180101
10.5	499.82852	-3950.2057	188.33205	16392.36	0.40959382	7.9678584
10.6	499.70127	-3950.1576	188.2841	16444.393	0.41937403	8.0965253
10.7	496.80953	-3949.0668	187.19451	16381.771	0.4265506	8.2127523
10.8	500.71434	-3950.5387	188.66582	16455.63	0.42505476	8.3240669
10.9	505.62493	-3952.3897	190.5161	16134.461	0.4218393	8.4365155
11.0	493.50035	-3947.821	185.94764	16406.327	0.42224769	8.5524166
