# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	840.82931	-41.964205	3.3692573	22469.565	0.1701789	0.22040895
5.2	841.11819	-41.9654	3.3704148	21761.425	0.2982941	0.73056732
5.3	809.86117	-41.840155	3.2451659	23576.836	0.28197683	1.3242272
5.4	910.73617	-42.24426	3.6493786	20977.303	0.25083393	1.4841491
5.5	927.13073	-42.310037	3.7150726	21383.185	0.19160194	1.6567486
5.6	902.70122	-42.212104	3.617182	20148.057	0.22290749	2.079587
5.7	899.31846	-42.198562	3.6036271	18543.273	0.33961087	2.6377097
5.8	861.73785	-42.048017	3.4530392	19042.729	0.40322365	3.1709974
5.9	857.54697	-42.031239	3.436246	21957.561	0.49211943	3.6907132
6.0	859.75823	-42.040139	3.4451067	20787.108	0.52393915	4.2950277
6.1	790.49175	-41.762495	3.1675514	20503.195	0.44731105	4.7985714
6.2	912.50953	-42.251452	3.6564845	19535.383	0.36389275	5.0853
6.3	812.22924	-41.849595	3.254655	20915.313	0.32195277	5.3244488
6.4	875.71932	-42.104017	3.5090638	19782.35	0.30599648	5.6086829
6.5	806.35027	-41.826021	3.2310976	19658.888	0.36757369	5.6972999
6.6	813.65128	-41.855312	3.2603532	21785.866	0.41593087	6.2067355
6.7	822.04294	-41.888911	3.2939791	20553.431	0.43582568	7.0764349
6.8	752.24262	-41.6092	3.0142847	22400.267	0.56397173	7.9617731
6.9	859.69645	-42.039805	3.4448591	20120.465	0.54634549	8.1037226
7.0	817.86139	-41.872166	3.2772234	19949.233	0.64567332	7.9935401
7.1	848.46976	-41.994829	3.399873	20217.714	0.74223476	8.0674157
7.2	908.06953	-42.233653	3.6386932	16656.838	0.62222366	7.9917663
7.3	814.92857	-41.860355	3.2654714	18960.224	0.45030073	7.9756573
7.4	709.59117	-41.438237	2.8433776	22465.77	0.34509446	7.9358727
7.5	766.03579	-41.664439	3.0695548	22407.237	0.23443981	7.8774744
7.6	908.92772	-42.237077	3.642132	19527.438	0.19647498	7.9478288
7.7	892.61275	-42.171655	3.5767569	20474.672	0.22390211	7.9412444
7.8	969.65409	-42.480457	3.8854665	19079.325	0.2292533	8.0609982
7.9	986.11086	-42.546364	3.9514098	17055.898	0.26065879	8.2981746
8.0	951.41759	-42.407325	3.8123916	19585.421	0.34377888	8.9704852
8.1	974.33491	-42.499135	3.9042228	20465.132	0.39422324	9.8748931
8.2	917.27074	-42.270466	3.675563	21354.813	0.38368554	10.632629
8.3	786.27057	-41.745566	3.1506369	17763.397	0.41032156	11.114214
8.4	762.69247	-41.651079	3.0561579	21155.436	0.40067766	11.169158
8.5	991.61281	-42.568435	3.9734565	20717.078	0.3649003	10.863445
8.6	1032.8291	-42.733624	4.1386128	18412.31	0.37561605	10.748777
8.7	870.79938	-42.084321	3.4893493	19046.06	0.41020789	11.15576
8.8	796.70635	-41.787458	3.1924537	21160.457	0.30961564	11.532575
8.9	944.67305	-42.380417	3.7853658	22038.526	0.2494573	12.083768
9.0	939.70351	-42.360439	3.7654526	20519.536	0.22547255	12.404629
9.1	894.48891	-42.179152	3.5842748	18245.482	0.19327779	12.657818
9.2	861.82955	-42.048307	3.4534066	22836.2	0.28073307	13.399736
9.3	699.98924	-41.399863	2.804902	27515.226	0.39910444	13.993501
9.4	787.09511	-41.748889	3.1539409	18113.954	0.42035487	14.075831
9.5	887.23382	-42.150135	3.5552031	18591.609	0.36448676	14.110208
9.6	985.64286	-42.544465	3.9495345	19345.296	0.31837295	14.591036
9.7	831.63132	-41.927313	3.3324003	17671.221	0.34859693	15.543135
9.8	882.43077	-42.130885	3.535957	18508.169	0.34669201	16.867995
9.9	867.17812	-42.06976	3.4748387	19100.799	0.31436554	18.420162
10.0	907.40511	-42.230999	3.6360308	18442.78	0.33389266	19.423854
10.1	665.22704	-41.260513	2.6656077	23937.931	0.34301314	20.291633
10.2	888.27614	-42.15423	3.5593798	21722.202	0.32530487	20.692672
10.3	782.0882	-41.728742	3.1338778	25564.574	0.45800423	21.018714
10.4	997.38352	-42.591541	3.9965801	21693.655	0.47929434	21.493339
10.5	720.52408	-41.482186	2.8871865	24323.485	0.44772933	22.406689
10.6	785.58841	-41.742805	3.1479034	20923.263	0.3764592	22.990536
10.7	855.42754	-42.022617	3.4277533	15210.594	0.29003042	22.534062
10.8	965.92276	-42.465379	3.8705148	19763.932	0.32629592	21.534752
10.9	756.56746	-41.626514	3.0316146	19318.774	0.421122	20.918243
11.0	854.32295	-42.018254	3.4233272	22094.697	0.39765548	20.621984
