# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	763.24639	-1142.208	85.141283	19552.221	0.11793556	0.16632049
5.4	728.41101	-1141.9159	81.255344	19522.956	0.38301211	1.3678534
5.7	727.84499	-1141.5878	81.192204	19071.054	0.45408803	2.32969
6.0	781.69634	-1141.8405	87.199403	20088.738	0.43543642	3.381821
6.3	761.83544	-1142.0855	84.98389	20076.962	0.43816632	4.1243819
6.6	717.27636	-1142.3667	80.013258	19736.311	0.40512579	4.8891636
6.9	784.49401	-1142.5753	87.511488	20197.513	0.41086418	5.6925047
7.2	766.64591	-1141.1331	85.520505	20376.441	0.40453761	6.4357714
7.5	728.52699	-1142.3653	81.268282	19197.577	0.38973666	7.3091749
7.8	743.30139	-1143.6219	82.916388	20147.78	0.42375499	7.861234
8.1	746.88516	-1139.9754	83.316164	20165.022	0.45225781	8.571084
8.4	777.4691	-1139.1899	86.727848	20225.884	0.49966024	9.2373083
8.7	758.83709	-1139.5711	84.649419	20143.928	0.48401031	9.8047604
9.0	749.46801	-1142.3499	83.604285	19697.035	0.47059014	10.787568
9.3	770.55175	-1145.4633	85.956208	18961.231	0.46806753	11.428356
9.6	728.17871	-1137.1747	81.229431	19516.975	0.52286747	12.326049
9.9	751.98496	-1136.0071	83.885054	19785.859	0.57373107	13.19342
10.2	735.81277	-1136.4566	82.081022	19649.956	0.5448201	14.002593
10.5	724.30708	-1141.8068	80.797545	19065.271	0.49258936	14.625996
10.8	743.84873	-1141.6008	82.977446	19645.268	0.50565957	15.42953
11.1	745.98326	-1137.5719	83.215556	19374.148	0.50610074	16.263949
11.4	788.33909	-1143.0535	87.940413	19409.796	0.4948179	17.019974
11.7	734.24469	-1142.1266	81.9061	19053.921	0.52251076	17.345915
12.0	720.20162	-1142.0967	80.339575	19307.432	0.56513961	17.945127
12.3	751.80138	-1137.0224	83.864576	20263.192	0.54839965	18.976647
12.6	756.40515	-1138.6453	84.378133	20020.328	0.53766788	19.853715
12.9	704.68517	-1139.9151	78.608692	19692.955	0.53311021	21.11958
13.2	757.37797	-1143.7004	84.486653	19225.76	0.51947759	21.898761
13.5	731.06528	-1141.6346	81.551432	19850.07	0.53438428	22.501544
13.8	762.02939	-1139.2106	85.005526	19362.96	0.51726481	23.604926
14.1	754.57699	-1139.5022	84.174199	19284.946	0.50845801	24.595525
14.4	759.9874	-1143.4951	84.777738	18827.725	0.50561091	25.439716
14.7	724.06591	-1140.5555	80.770642	19323.703	0.52302205	26.389593
15.0	754.19137	-1136.7011	84.131183	19729.816	0.52724669	27.570841
15.3	787.06675	-1142.1206	87.798481	19298.083	0.4961311	28.525988
15.6	739.91444	-1143.0823	82.538569	18769.093	0.46562959	29.2309
15.9	763.83832	-1146.043	85.207314	18906.366	0.44554317	30.029723
16.2	758.0791	-1140.6894	84.564865	19940.288	0.45758202	30.83119
16.5	774.5978	-1140.635	86.40755	20138.83	0.51071736	31.648019
16.8	742.86199	-1140.893	82.867374	19802.759	0.52349835	32.024915
17.1	746.99822	-1139.1024	83.328776	20118.095	0.53778503	33.145942
17.4	776.0034	-1141.8268	86.564347	20247.065	0.54672636	34.199773
17.7	737.67962	-1142.1449	82.289272	19582.617	0.52458755	34.926626
18.0	740.04143	-1147.2843	82.552736	19194.525	0.48684693	35.684431
18.3	746.18327	-1142.9064	83.237867	19513.964	0.50359675	37.059732
18.6	752.36509	-1140.8282	83.927459	19287.02	0.52046094	38.166082
18.9	746.64649	-1142.254	83.28954	20279.726	0.52542452	38.967814
19.2	727.7722	-1144.7895	81.184085	18967.233	0.49334364	39.777395
19.5	782.75127	-1143.28	87.317083	20069.658	0.51996626	40.635783
19.8	726.50381	-1138.0832	81.042593	19397.409	0.51101396	41.095856
20.1	736.57388	-1140.3201	82.165925	19698.301	0.50073937	41.933766
20.4	753.20994	-1147.3115	84.021703	18928.613	0.51662931	42.881419
20.7	729.33546	-1144.7103	81.358469	19310.5	0.51750521	43.111966
21.0	776.91183	-1141.5716	86.665684	20164.017	0.55644428	43.883972
21.3	759.25322	-1142.3468	84.695839	19435.144	0.58823199	45.2347
21.6	744.52488	-1145.5485	83.052871	19658.485	0.56316793	46.217067
21.9	714.67492	-1142.1531	79.723063	20219.412	0.52734764	47.068399
22.2	786.69084	-1143.5263	87.756548	19815.629	0.45332279	48.839537
22.5	746.25848	-1142.0171	83.246257	19678.491	0.49746551	50.233661
22.8	767.43417	-1142.9561	85.608437	19528.432	0.46873789	51.414028
23.1	746.71146	-1140.5751	83.296787	19748.539	0.45182423	52.511283
23.4	749.51302	-1145.1627	83.609305	19567.451	0.46417749	53.754755
23.7	765.30285	-1145.43	85.370684	18828.356	0.46700985	54.797481
24.0	758.07995	-1139.14	84.56496	20374.601	0.49016696	55.496639
24.3	749.25967	-1139.0448	83.581044	18949.762	0.47690691	56.526015
24.6	729.57081	-1143.2153	81.384722	19154.956	0.44780957	56.40645
