# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	304.9104	-1198.649	34.013214	13558.88	0.047226079	0.0659104
5.2	290.32979	-1198.0613	32.386725	13421.807	0.10207871	0.22457594
5.3	284.7065	-1198.258	31.759439	13257.177	0.11141542	0.38791394
5.4	290.49941	-1199.1021	32.405646	13318.899	0.12154323	0.50772821
5.5	294.58626	-1199.5489	32.861541	13618.895	0.12834497	0.59702588
5.6	286.51362	-1198.5675	31.961025	13526.792	0.13012544	0.66078749
5.7	291.2059	-1198.8406	32.484457	13667.215	0.13174635	0.70227251
5.8	287.85552	-1198.1598	32.110717	13785.292	0.13086233	0.73555504
5.9	292.52426	-1198.1655	32.631522	13574.775	0.12776642	0.77371731
6.0	290.71641	-1197.4812	32.429853	13669.92	0.12626074	0.82861403
6.1	302.76743	-1198.5598	33.774162	13668.021	0.13115027	0.88331478
6.2	292.9436	-1197.5327	32.678299	13892.77	0.15030215	0.92750321
6.3	296.56825	-1197.9872	33.082635	14062.01	0.15869489	0.96571058
6.4	302.15202	-1198.8026	33.705513	13821.61	0.15818602	1.0037059
6.5	295.53487	-1198.6486	32.967359	13784.377	0.16151021	1.05191
6.6	293.92231	-1199.0635	32.787476	13834.162	0.1663598	1.0947068
6.7	297.79645	-1200.054	33.219642	14268.47	0.17298676	1.1180977
6.8	289.23409	-1199.8161	32.264498	14011.92	0.17210261	1.14619
6.9	279.6771	-1199.1595	31.198401	13882.975	0.17140424	1.176056
7.0	285.77034	-1199.5877	31.878111	14055.377	0.1682221	1.1992151
7.1	304.38034	-1200.9287	33.954085	13926.44	0.16196936	1.2297132
7.2	296.31988	-1199.5101	33.054928	14010.822	0.16216512	1.282049
7.3	301.15312	-1199.5299	33.594084	13610.325	0.16887397	1.3310201
7.4	293.85817	-1197.6512	32.780322	13988.611	0.17284064	1.3685033
7.5	319.81902	-1199.122	35.676293	13816.013	0.1710439	1.4014476
7.6	306.48286	-1197.5154	34.188624	13834.321	0.17584667	1.4430666
7.7	307.15367	-1198.4	34.263454	13975.606	0.17417077	1.480009
7.8	291.62686	-1197.7811	32.531415	14185.878	0.17720233	1.4929918
7.9	284.50227	-1197.527	31.736657	13860.495	0.18412953	1.5023655
8.0	298.87682	-1199.2195	33.340159	13774.607	0.18403044	1.5195471
8.1	294.25366	-1198.8984	32.824439	13732.757	0.18764754	1.5436196
8.2	295.04066	-1199.2503	32.91223	13733.943	0.18848926	1.5829135
8.3	306.44359	-1201.0649	34.184244	13611.33	0.18215865	1.6335183
8.4	279.14555	-1199.3608	31.139106	13674.268	0.17733481	1.6802365
8.5	291.25174	-1201.477	32.48957	13994.442	0.17745338	1.7154824
8.6	286.77904	-1201.2325	31.990634	14192.745	0.18700444	1.7594889
8.7	292.57181	-1201.8219	32.636826	13783.169	0.18491373	1.7927579
8.8	289.33816	-1201.3922	32.276107	13876.855	0.18452268	1.8172485
8.9	286.1698	-1200.8043	31.922672	13733.036	0.18630344	1.8392163
9.0	291.559	-1200.8661	32.523846	13273.777	0.18369969	1.8603004
9.1	283.89298	-1199.3301	31.668689	13987.209	0.19152566	1.8680345
9.2	307.12394	-1201.1451	34.260138	14021.334	0.19416499	1.8762826
9.3	301.82559	-1200.619	33.669099	13687.395	0.19587445	1.8941957
9.4	294.49014	-1200.0966	32.850819	14410.235	0.20342047	1.8953698
9.5	308.36924	-1201.8355	34.399053	14047.063	0.20338741	1.9085554
9.6	287.54527	-1200.0785	32.076108	14285.027	0.20979386	1.9378164
9.7	294.98825	-1201.2892	32.906383	14565.843	0.21853754	1.9631321
9.8	289.44804	-1201.0348	32.288364	14038.925	0.2195638	2.0110153
9.9	289.72699	-1201.3152	32.319482	13757.582	0.21250078	2.0708794
10.0	289.5239	-1201.3306	32.296826	14145.566	0.21124037	2.128219
10.1	297.40818	-1202.0152	33.17633	13794.389	0.21359506	2.1876469
10.2	286.38172	-1200.6177	31.946312	14173.551	0.22332525	2.2412144
10.3	298.98899	-1201.4982	33.352672	13944.155	0.23184053	2.2892656
10.4	304.30913	-1201.5377	33.946142	13877.129	0.24099548	2.3363752
10.5	296.66143	-1200.6581	33.093029	14475.469	0.24337892	2.3854717
10.6	304.55508	-1202.1401	33.973578	13693.505	0.24732543	2.4195067
10.7	287.61162	-1201.3364	32.08351	13755.755	0.25601929	2.4564034
10.8	282.16041	-1201.3532	31.475419	14156.203	0.26045658	2.507619
10.9	297.24721	-1203.1958	33.158373	13872.933	0.2643884	2.5513008
11.0	295.8681	-1203.2222	33.004532	14290.497	0.26433232	2.604074
